index,YEAR,LOCATION,CATTLE_BREED_TYPE,CATTLE_GENDER,CATTLE_AGE_0_6,CATTLE_AGE_6_6,CATTLE_AGE_6_12,CATTLE_AGE_12_18,CATTLE_AGE_18_24,CATTLE_AGE_24_30,CATTLE_AGE_30_36,CATTLE_AGE_36_PLUS
2639,2020,Doonbeg,BEEF,C,0,0,0,0,7,33,386,5857
2640,2014,Doonbeg,BEEF,C,0,0,0,0,7,34,375,5810
2641,2015,Vartry,DAIRY,C,0,0,0,0,3,62,232,1270
2642,2017,Moy,DAIRY,C,0,0,0,0,12,81,1642,9743
2643,2020,Vartry,BEEF,F,61,380,1153,377,920,132,121,49
2644,2016,Dargle,BEEF,F,27,158,544,168,497,71,132,25
2645,2019,Vartry,BEEF,F,46,332,1005,322,866,124,81,42
2646,2018,Vartry,BEEF,F,58,363,1049,354,934,144,98,43
2647,2019,Vartry,DAIRY,F,16,143,249,158,394,84,43,21
2648,2016,Erriff,BEEF,C,0,0,0,0,0,0,42,617
2649,2014,Gweebarra,BEEF,F,40,136,514,156,390,78,172,54
2650,2016,Dodder,BEEF,C,0,0,0,0,2,3,52,513
2651,2014,Gweebarra,BEEF,C,0,0,0,2,4,20,64,1638
2652,2018,Dargle,DAIRY,C,0,0,0,0,1,12,63,381
2653,2016,Dodder,BEEF,F,17,76,158,75,141,41,37,6
2654,2015,Dodder,BEEF,F,17,75,158,75,141,41,37,6
2655,2020,Erriff,BEEF,F,5,39,207,43,126,10,49,18
2656,2015,Dodder,DAIRY,C,0,0,0,0,0,0,14,102
2657,2014,Dodder,DAIRY,C,0,0,0,0,0,0,14,102
2658,2020,Gweebarra,DAIRY,C,0,0,0,0,0,0,31,94
2659,2014,Currane,DAIRY,C,0,0,0,0,0,0,7,32
2660,2018,Boyne,BEEF,M,1592,7455,34516,9845,33161,4931,7685,2895
2661,2019,Nore,DAIRY,M,460,1434,27332,2808,24449,1169,1962,241
2662,2018,Nore,BEEF,M,1729,7648,44035,10625,44235,4216,4663,2597
2663,2020,Inny,BEEF,M,716,3696,16282,4621,14651,2049,2735,1372
2664,2018,Inny,BEEF,M,704,3663,16399,4667,15047,2077,2809,1399
2665,2019,Boyne,DAIRY,M,779,2275,8786,2962,8133,1275,1397,337
2666,2018,Ilen,DAIRY,M,80,167,1508,213,1228,70,105,45
2667,2020,Moy,DAIRY,M,156,235,1542,233,856,120,199,34
2668,2019,Moy,DAIRY,M,154,235,1535,230,1081,124,201,34
2669,2018,Vartry,BEEF,M,59,350,817,251,576,111,72,73
2670,2017,Doonbeg,BEEF,M,148,525,2971,418,1760,127,234,288
2671,2020,Dargle,BEEF,M,20,141,558,97,301,32,49,54
2672,2014,Dargle,BEEF,M,17,141,552,89,285,32,48,51
